package,test,tracker_id,reason
max/kernels/test/gpu/compile,test_compile_to_llvm_codegen.mojo,KERN-2360,external_memory is not supported on Apple silicon
max/kernels/test/gpu/linalg,test_gemv.mojo,MOCO-3587,Metal compilation failure
max/kernels/test/gpu/linalg,test_gemv2.mojo,,(no reason given)
max/kernels/test/gpu/linalg,test_grouped_matmul_rowwise_scaled_fp8.mojo,,(no reason given)
max/kernels/test/gpu/linalg,test_multistage_gemm_kernel.mojo,,long running on MacOS
max/kernels/test/gpu/linalg,test_linalg_matmul_gpu.mojo,MOCO-2366,(no reason given)
max/kernels/test/gpu/linalg,test_grouped_matmul_vendor.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/linalg,test_batched_matmul.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/linalg,test_split_k_reduce.mojo,MOCO-2411,bfloat16 numerical mismatch on Apple GPU
max/kernels/test/gpu/linalg,test_matmul_custom.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/linalg,test_matmul.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/linalg,test_matmul_tile_scheduler.mojo,MOCO-2405,(no reason given)
max/kernels/test/gpu/linalg,test_grouped_matmul_tile_scheduler.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_topk_gpu_fi.mojo,KERN-3121,topk_topp_sampling_from_prob samples out-of-top-K index on Metal
max/kernels/test/gpu/nn,test_topk_topp_sampling_with_dist.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_topk_topp_masked_probs.mojo,,`from_probs` refuses to build on Apple (`_block_reduce_topk` caps its
max/kernels/test/gpu/nn,test_gumbel_argmax_from_probs.mojo,,Bounded masked DRAM->SRAM copy proof; the masked `cp.async` zero-fill
max/kernels/test/gpu/nn,test_sparse_indexer_common.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_mha_sink_weights.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_mla.mojo,,(no reason given)
max/kernels/test/gpu/nn,test_rms_norm_fused_fp8.mojo,PRDT-506,(no reason given)
max/kernels/test/gpu/nn,test_rms_norm_fused_residual_add.mojo,KERN-2651,Metal threadgroup memory limit (33032 > 32768)
max/kernels/test/gpu/nn,test_mha_chunked_causal_mask.mojo,KERN-3062,flash attention numerically diverges on Metal
